id,movie_id,time,url,img,title,uid,type,count,comment,createtm,lastupdatetm,advance,info,subject_type,user_id,deleted,content_id
389015,346288,51,https://vod.pipi.cn/fe5b84bcvodcq1251246104/19eee72c5285890800767248017/f0.mp4,http://p1.meituan.net/movie/ec59f652f5a62cdee2b343eb1ebed36229883.jpg,《封神三部曲》2019年24节气海报,0,2,546,0,2020-04-01 11:42:51,2020-04-16 13:42:57,0,"{""episodes"":0,""highVideoUrl"":""https://vod.pipi.cn/fe5b84bcvodcq1251246104/19eee72c5285890800767248017/f0.mp4"",""ifFakeUrl"":0,""ifVip"":0,""lowVideoUrl"":""https://vod.pipi.cn/fe5b84bcvodcq1251246104/19eee72a5285890800767248015/f0.mp4"",""seq"":0,""superVideoUrl"":""""}",0,0,0,721411
389017,1281573,462,https://vod.pipi.cn/fe5b84bcvodcq1251246104/19eee72e5285890800767248019/f0.mp4,http://p0.meituan.net/movie/d8f6678b39c44004327524596999bb2e25782.jpg,专访胡一天：拖鞋硬汉的奇探之旅,0,2,1237,-1,2020-04-01 18:55:27,2020-04-16 13:42:57,0,"{""episodes"":0,""highVideoUrl"":""https://vod.pipi.cn/fe5b84bcvodcq1251246104/19eee72e5285890800767248019/f0.mp4"",""ifFakeUrl"":0,""ifVip"":0,""lowVideoUrl"":""https://vod.pipi.cn/fe5b84bcvodcq1251246104/19eee72b5285890800767248016/f0.mp4"",""seq"":0,""superVideoUrl"":""https://vod.pipi.cn/fe5b84bcvodcq1251246104/19eee70c5285890800767248008/f0.mp4""}",0,0,0,707896
389018,605319,62,https://vod.pipi.cn/fe5b84bcvodcq1251246104/a5b307265285890796587449485/f0.mp4,http://p0.meituan.net/movie/b6206b84a0d989a95f93c03da813d2b821640.jpg,星际探索 花絮1：推荐特辑 (中文字幕),999,2,2,0,2020-04-02 02:52:45,2020-04-16 13:42:57,0,"{""episodes"":0,""highVideoUrl"":""https://vod.pipi.cn/fe5b84bcvodcq1251246104/a5b307265285890796587449485/f0.mp4"",""ifFakeUrl"":0,""ifVip"":0,""lowVideoUrl"":""https://vod.pipi.cn/fe5b84bcvodcq1251246104/af5ed1475285890796587893276/f0.mp4"",""seq"":0}",0,0,0,721964
389019,605319,80,https://vod.pipi.cn/fe5b84bcvodcq1251246104/c84f40eb5285890796584879567/f0.mp4,http://p0.meituan.net/movie/b8e4a7e03a6828006e4ef72516db420923287.jpg,星际探索 花絮2：太空英雄特辑 (中文字幕),999,2,1,0,2020-04-02 02:52:45,2020-04-16 13:42:57,0,"{""episodes"":0,""highVideoUrl"":""https://vod.pipi.cn/fe5b84bcvodcq1251246104/c84f40eb5285890796584879567/f0.mp4"",""ifFakeUrl"":0,""ifVip"":0,""lowVideoUrl"":""https://vod.pipi.cn/fe5b84bcvodcq1251246104/a35b35845285890796587344957/f0.mp4"",""seq"":0}",0,0,0,717123
389022,342795,47,https://vod.pipi.cn/fe5b84bcvodcq1251246104/9ca2de745285890796587082042/f0.mp4,http://p0.meituan.net/movie/0faddcd2e39d0dbb936ca69d2838d62813917.jpg,高跟鞋先生 预告片3 (中文字幕),999,1,1,0,2020-04-02 02:55:34,2020-04-16 13:42:57,0,"{""episodes"":0,""ifFakeUrl"":0,""ifVip"":0,""lowVideoUrl"":""https://vod.pipi.cn/fe5b84bcvodcq1251246104/9ca2de745285890796587082042/f0.mp4"",""seq"":0}",0,0,0,713060
389023,68070,117,https://vod.pipi.cn/fe5b84bcvodcq1251246104/4240bca65285890796589581918/f0.mp4,http://p0.meituan.net/movie/13f153cf33a4106001717a70cdd8a2c619064.jpg,恋恋书中人 花絮1：埃利奥特·古尔德访谈,999,2,0,0,2020-04-02 02:57:15,2020-04-16 13:42:57,0,"{""episodes"":0,""ifFakeUrl"":0,""ifVip"":0,""lowVideoUrl"":""https://vod.pipi.cn/fe5b84bcvodcq1251246104/4240bca65285890796589581918/f0.mp4"",""seq"":0}",0,0,0,713061
389024,68070,368,https://vod.pipi.cn/fe5b84bcvodcq1251246104/3ffea8475285890796589493278/f0.mp4,http://p0.meituan.net/movie/970548db32c5ee21f0e9103819f9523523538.jpg,恋恋书中人 花絮2：Zoe Kazan访谈,999,2,0,0,2020-04-02 02:57:15,2020-04-16 13:42:57,0,"{""episodes"":0,""ifFakeUrl"":0,""ifVip"":0,""lowVideoUrl"":""https://vod.pipi.cn/fe5b84bcvodcq1251246104/3ffea8475285890796589493278/f0.mp4"",""seq"":0}",0,0,0,721970
389025,589,86,https://vod.pipi.cn/fe5b84bcvodcq1251246104/04be8abc5285890796585148517/f0.mp4,http://p0.meituan.net/movie/82d1aa5541ca36d974dba8750562129c26353.jpg,西游记之大闹天宫 片段：神魔情殇 (中文字幕),999,4,1,0,2020-04-02 02:57:48,2020-04-16 13:42:57,0,"{""episodes"":0,""ifFakeUrl"":0,""ifVip"":0,""lowVideoUrl"":""https://vod.pipi.cn/fe5b84bcvodcq1251246104/04be8abc5285890796585148517/f0.mp4"",""seq"":0}",0,0,0,717126
389027,356509,134,https://vod.pipi.cn/fe5b84bcvodcq1251246104/0c027b345285890796585481050/f0.mp4,http://p1.meituan.net/movie/6a5c1a3d0e36d0a042a5ac1bec129af715828.jpg,格哈德·里希特的绘画 预告片2,999,1,0,0,2020-04-02 02:57:52,2020-04-16 13:42:57,0,"{""episodes"":0,""ifFakeUrl"":0,""ifVip"":0,""lowVideoUrl"":""https://vod.pipi.cn/fe5b84bcvodcq1251246104/0c027b345285890796585481050/f0.mp4"",""seq"":0}",0,0,0,721971
389028,356509,111,https://vod.pipi.cn/fe5b84bcvodcq1251246104/0b9a4b1b5285890796585429046/f0.mp4,http://p0.meituan.net/movie/3e4c6a79a7ebbc6bf8fad17134cc6e5d21058.jpg,格哈德·里希特的绘画 预告片1,999,1,0,0,2020-04-02 02:57:52,2020-04-16 13:42:57,0,"{""episodes"":0,""ifFakeUrl"":0,""ifVip"":0,""lowVideoUrl"":""https://vod.pipi.cn/fe5b84bcvodcq1251246104/0b9a4b1b5285890796585429046/f0.mp4"",""seq"":0}",0,0,0,698476
